dataset,time,Calculated,totalCalls,Percent Pruned,dtwCallsPerEpoch,timePerEpoch,n,slength,adjusted Mutual information,adjusted Rand index,Homogeneity,Completeness,Fowlkes Mallows,Rand index
FacesUCR,2.531540870666504,286422,315000,9.072380952380954,"[31500, 29528, 29040, 28472, 28510, 28505, 28010, 28295, 27738, 26824]","[0.2823469638824463, 0.24522018432617188, 0.24263596534729004, 0.2536592483520508, 0.24610018730163574, 0.24308395385742188, 0.2668118476867676, 0.25868988037109375, 0.24767804145812988, 0.24134182929992676]",2250,131,0.48734679774582246,0.2708374936055856,0.46384734393244614,0.5310230639119553,0.3617728826157037,0.8501228200187738
FiftyWords,4.440048933029175,189750,452500,58.066298342541444,"[45250, 23984, 19663, 17558, 16819, 15126, 14771, 13583, 12208, 10788]","[0.5858376026153564, 0.4781360626220703, 0.44502687454223633, 0.44917798042297363, 0.41939210891723633, 0.3976469039916992, 0.3942131996154785, 0.4125828742980957, 0.3860330581665039, 0.3946969509124756]",905,270,0.5388638594932303,0.38968209479777804,0.6197544463374322,0.6544903408012489,0.41582083718683455,0.9509851855473525
Fish,0.6520068645477295,11752,24500,52.03265306122449,"[2450, 988, 1020, 1045, 1053, 1050, 1050, 1027, 1035, 1034]","[0.09762716293334961, 0.06418991088867188, 0.06401896476745605, 0.06139087677001953, 0.059333086013793945, 0.06324505805969238, 0.059622764587402344, 0.05347895622253418, 0.06548404693603516, 0.05961894989013672]",350,463,0.20706386824301976,0.12621369772178573,0.15901645653521168,0.3415427741183042,0.3629301828637799,0.603847728203029
FreezerRegularTrain,1.1560842990875244,35494,60000,40.843333333333334,"[6000, 3152, 3249, 3138, 3404, 3334, 3283, 3312, 3324, 3298]","[0.15577220916748047, 0.12107205390930176, 0.11175084114074707, 0.10844802856445312, 0.11668610572814941, 0.10157489776611328, 0.11526298522949219, 0.11026263236999512, 0.10105681419372559, 0.11133384704589844]",3000,301,0.21517599121200442,0.2813684284083562,0.21505982005833527,0.21567117643675285,0.6412700231011781,0.6406837834833834
FreezerSmallTrain,1.1405980587005615,34483,57560,40.09207783182765,"[5756, 3108, 3212, 3151, 3230, 3187, 3219, 3191, 3243, 3186]","[0.16691088676452637, 0.12015008926391602, 0.10580682754516602, 0.10341000556945801, 0.11076521873474121, 0.10730409622192383, 0.10521125793457031, 0.1130983829498291, 0.10208511352539062, 0.10323619842529297]",2878,301,0.14886036289659352,0.15228189521852858,0.14006668186645255,0.1593504415642605,0.6096834501565337,0.5761169738282799
Fungi,0.47367382049560547,9882,36720,73.08823529411765,"[3672, 1073, 800, 844, 590, 640, 536, 649, 543, 535]","[0.0718989372253418, 0.058118343353271484, 0.039563894271850586, 0.04639887809753418, 0.0412747859954834, 0.0444941520690918, 0.04176592826843262, 0.04234194755554199, 0.04104495048522949, 0.04122805595397949]",204,201,0.7570888689566285,0.5110400265659762,0.7338583667226227,0.8889490134096668,0.5697474606120226,0.9272191635274799
GestureMidAirD1,1.1284949779510498,20243,87880,76.96517979062358,"[8788, 1403, 1496, 1433, 1247, 1197, 1255, 1262, 1118, 1044]","[0.16475391387939453, 0.11571598052978516, 0.09679889678955078, 0.10181403160095215, 0.10736799240112305, 0.1256728172302246, 0.10019993782043457, 0.10310697555541992, 0.0941469669342041, 0.09558486938476562]",338,360,0.48858345305938955,0.2844030703082496,0.6121197077373984,0.6494876186632111,0.3194618652991842,0.9406528189910979
GestureMidAirD2,1.1086499691009521,14958,87880,82.97906235776058,"[8788, 891, 653, 703, 716, 637, 650, 668, 637, 615]","[0.1720271110534668, 0.10951590538024902, 0.10538291931152344, 0.09412288665771484, 0.12321305274963379, 0.08782100677490234, 0.10224604606628418, 0.10210275650024414, 0.09364819526672363, 0.09493613243103027]",338,360,0.5214583100547556,0.23947913051136335,0.4842827308425355,0.7470758806038879,0.34730401289917984,0.8776183870911102
GestureMidAirD3,1.1412160396575928,15514,87880,82.34638142922167,"[8788, 1146, 845, 782, 676, 642, 751, 685, 629, 570]","[0.1881580352783203, 0.13760900497436523, 0.10332298278808594, 0.11620187759399414, 0.09694314002990723, 0.09248208999633789, 0.0965721607208252, 0.09483623504638672, 0.08938813209533691, 0.10241270065307617]",338,360,0.22187020429603732,0.0914202042179237,0.41456034665407837,0.4497565594229162,0.1347564134506364,0.919758397274946
GunPoint,0.1220710277557373,2589,4000,35.275,"[400, 246, 259, 252, 233, 258, 251, 240, 226, 224]","[0.017994165420532227, 0.014044046401977539, 0.010421991348266602, 0.01256108283996582, 0.01131892204284668, 0.010776042938232422, 0.010628938674926758, 0.011656999588012695, 0.011614799499511719, 0.009516000747680664]",200,150,-0.003647286119685477,-0.005050505050505051,0.0,0.0,0.494949494949495,0.49748743718592964
GunPointAgeSpan,0.21455621719360352,5063,9020,43.86917960088692,"[902, 482, 479, 478, 459, 451, 454, 451, 456, 451]","[0.024178028106689453, 0.03738808631896973, 0.022802114486694336, 0.02013421058654785, 0.02003931999206543, 0.01850295066833496, 0.0180511474609375, 0.017386198043823242, 0.016829967498779297, 0.017359018325805664]",451,150,-0.001748269760285949,-0.00172999041499589,2.1067848465594443e-06,2.510831771356664e-06,0.5493184243635072,0.4989110618378911
GunPointMaleVersusFemale,0.18712711334228516,5053,9020,43.98004434589801,"[902, 485, 483, 461, 451, 451, 451, 458, 460, 451]","[0.02126598358154297, 0.01810598373413086, 0.01825094223022461, 0.018453121185302734, 0.018002033233642578, 0.018156051635742188, 0.018960952758789062, 0.017807960510253906, 0.018525123596191406, 0.017965078353881836]",451,150,0.3403291342717273,0.23403436196676722,0.31426373385156986,0.3738645786053029,0.6570072152076768,0.6170485341217049
GunPointOldVersusYoung,0.190079927444458,5048,9020,44.035476718403544,"[902, 451, 451, 451, 466, 452, 453, 451, 479, 492]","[0.022181034088134766, 0.01770186424255371, 0.018291950225830078, 0.018695831298828125, 0.017294883728027344, 0.019093990325927734, 0.018229007720947266, 0.020028114318847656, 0.018370866775512695, 0.018651962280273438]",451,150,0.4548938978045269,0.4036392590958884,0.43931779642857344,0.473574478361735,0.7166038430577951,0.7018181818181818
Ham,0.21413183212280273,4125,4280,3.6214953271028083,"[428, 420, 423, 406, 407, 424, 394, 399, 406, 418]","[0.024876832962036133, 0.021300792694091797, 0.021082162857055664, 0.020424842834472656, 0.022422075271606445, 0.020300865173339844, 0.020654916763305664, 0.020884990692138672, 0.01968693733215332, 0.020743846893310547]",214,431,0.058126771768772546,0.02826688859901468,0.05221248108407071,0.0761502607761007,0.6028372115748176,0.5134921679610372
HandOutlines,13.48900580406189,16489,27400,39.821167883211686,"[2740, 1602, 1501, 1517, 1512, 1524, 1526, 1515, 1539, 1513]","[1.903320074081421, 1.3321149349212646, 1.2531659603118896, 1.287532091140747, 1.2722609043121338, 1.314795732498169, 1.3011960983276367, 1.2699980735778809, 1.2780861854553223, 1.2705299854278564]",1370,2709,0.0008063505817384512,0.0011204259411257784,0.001136619833914551,0.12389066990344157,0.7333912345687518,0.5385368402531551
Haptics,2.3407938480377197,17947,23150,22.475161987041037,"[2315, 1980, 1749, 1881, 1768, 1509, 1584, 1606, 1722, 1833]","[0.2912459373474121, 0.22416210174560547, 0.22936701774597168, 0.2539839744567871, 0.22859978675842285, 0.21476078033447266, 0.21448206901550293, 0.2288808822631836, 0.22765684127807617, 0.21991491317749023]",463,1092,0.08542887808548277,0.07150567812882316,0.09136133797711068,0.10112128547210787,0.2838595705269245,0.6693968378633606
Herring,0.1328868865966797,1408,2560,44.99999999999999,"[256, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[0.01894664764404297, 0.012994050979614258, 0.01250910758972168, 0.011626005172729492, 0.012893915176391602, 0.012629985809326172, 0.012073993682861328, 0.012195825576782227, 0.012808084487915039, 0.012725114822387695]",128,512,4.293122560421226e-15,0.0,8.25600492388633e-16,1.0,0.7189265017793056,0.51685531496063
HouseTwenty,1.3104338645935059,3158,3180,0.691823899371069,"[318, 316, 313, 316, 316, 316, 315, 318, 318, 312]","[0.1614530086517334, 0.14849209785461426, 0.13473200798034668, 0.12302303314208984, 0.12168502807617188, 0.11995816230773926, 0.12601208686828613, 0.12369775772094727, 0.12595605850219727, 0.1220400333404541]",159,3000,-0.003584123532588053,-0.0061209270658027426,0.0010764810322692658,0.0010847920878105841,0.5036208500606076,0.4970145689037497
